Date, Index
Apr 19, 2013;82.85
Apr 18, 2013;82.68
Apr 17, 2013;82.79
Apr 16, 2013;81.82
Apr 15, 2013;82.51
Apr 12, 2013;82.41
Apr 11, 2013;82.33
Apr 10, 2013;82.63
Apr 09, 2013;82.41
Apr 08, 2013;82.87
Apr 05, 2013;82.60
Apr 04, 2013;82.80
Apr 03, 2013;82.86
Apr 02, 2013;83.09
Apr 01, 2013;82.90
Mar 28, 2013;83.17
Mar 27, 2013;83.41
Mar 26, 2013;83.05
Mar 25, 2013;83.00
Mar 22, 2013;82.53
Mar 21, 2013;82.91
Mar 20, 2013;82.95
Mar 19, 2013;83.21
Mar 18, 2013;82.57
Mar 15, 2013;82.26
Mar 14, 2013;82.62
Mar 13, 2013;82.90
Mar 12, 2013;82.59
Mar 11, 2013;82.58
Mar 08, 2013;82.73
Mar 07, 2013;82.12
Mar 06, 2013;82.51
Mar 05, 2013;82.15
Mar 04, 2013;82.25
Mar 01, 2013;82.36
Feb 28, 2013;82.00
Feb 27, 2013;81.67
Feb 26, 2013;81.94
Feb 25, 2013;81.78
Feb 22, 2013;81.58
Feb 21, 2013;81.55
Feb 20, 2013;81.16
Feb 19, 2013;80.55
Feb 18, 2013;80.58
Feb 15, 2013;80.58
Feb 14, 2013;80.54
Feb 13, 2013;80.17
Feb 12, 2013;80.16
Feb 11, 2013;80.39
Feb 08, 2013;80.32
Feb 07, 2013;80.26
Feb 06, 2013;79.77
Feb 05, 2013;79.53
Feb 04, 2013;79.57
Feb 01, 2013;79.14
Jan 31, 2013;79.23
Jan 30, 2013;79.33
Jan 29, 2013;79.62
Jan 28, 2013;79.87
Jan 25, 2013;79.82
Jan 24, 2013;80.01
Jan 23, 2013;79.99
Jan 22, 2013;79.97
Jan 21, 2013;80.12
Jan 18, 2013;80.12
Jan 17, 2013;79.71
Jan 16, 2013;79.85
Jan 15, 2013;79.83
Jan 14, 2013;79.54
Jan 11, 2013;79.61
Jan 10, 2013;79.82
Jan 09, 2013;80.68
Jan 08, 2013;80.44
Jan 07, 2013;80.37
Jan 04, 2013;80.61
Jan 03, 2013;80.52
Jan 02, 2013;79.95
